,region,period_begin,period_end,period_duration,median_sale_price,homes_sold
1884620,"Los Angeles, CA",2021-02-01,2021-02-28,30,979500.0,1306.0
1887486,"San Francisco, CA",2021-11-01,2021-11-30,30,1850000.0,274.0
1891733,"New York, NY",2020-11-01,2020-11-30,30,640000.0,792.0
1900872,"New York, NY",2022-09-01,2022-09-30,30,730000.0,720.0
1914248,"Los Angeles, CA",2021-08-01,2021-08-31,30,1117500.0,1644.0
1923719,"San Francisco, CA",2021-07-01,2021-07-31,30,1850000.0,235.0
1939646,"Raleigh, NC",2021-09-01,2021-09-30,30,410000.0,436.0
1952547,"Boston, MA",2022-12-01,2022-12-31,30,792500.0,66.0
1953985,"Atlanta, GA",2021-10-01,2021-10-31,30,500000.0,557.0
1966311,"New York, NY",2020-10-01,2020-10-31,30,630000.0,893.0
1985374,"Denver, CO",2022-11-01,2022-11-30,30,655000.0,420.0
1990623,"Los Angeles, CA",2018-12-01,2018-12-31,30,753500.0,1212.0
2002303,"San Francisco, CA",2021-09-01,2021-09-30,30,1750000.0,228.0
2007691,"Raleigh, NC",2022-10-01,2022-10-31,30,444620.0,308.0
2019758,"Chicago, IL",2019-04-01,2019-04-30,30,247000.0,909.0
2026873,"Denver, CO",2021-06-01,2021-06-30,30,650000.0,928.0
2031063,"Denver, CO",2021-10-01,2021-10-31,30,595000.0,778.0
2032696,"Austin, TX",2022-05-01,2022-05-31,30,720000.0,961.0
2040752,"Denver, CO",2021-03-01,2021-03-31,30,601000.0,774.0
2050169,"Chicago, IL",2018-10-01,2018-10-31,30,230000.0,914.0
2051306,"Denver, CO",2018-03-01,2018-03-31,30,464000.0,755.0
2062431,"New York, NY",2018-09-01,2018-09-30,30,588500.0,685.0
2064323,"Seattle, WA",2021-01-01,2021-01-31,30,850000.0,376.0
2065719,"Chicago, IL",2018-09-01,2018-09-30,30,243000.0,841.0
2069937,"Boston, MA",2020-01-01,2020-01-31,30,655000.0,46.0
2078551,"Atlanta, GA",2019-11-01,2019-11-30,30,375500.0,493.0
2083046,"Raleigh, NC",2019-03-01,2019-03-31,30,313000.0,471.0
2089117,"Chicago, IL",2022-11-01,2022-11-30,30,288500.0,684.0
2094331,"Boston, MA",2021-07-01,2021-07-31,30,829000.0,141.0
2094568,"San Francisco, CA",2020-02-01,2020-02-29,30,1590000.0,111.0
2097547,"Chicago, IL",2020-08-01,2020-08-31,30,305000.0,1142.0
2117468,"Seattle, WA",2018-08-01,2018-08-31,30,765000.0,555.0
2120627,"Boston, MA",2020-02-01,2020-02-29,30,642350.0,42.0
2135765,"Los Angeles, CA",2020-03-01,2020-03-31,30,875000.0,1205.0
2137188,"Los Angeles, CA",2018-01-01,2018-01-31,30,690000.0,1076.0
2139132,"Los Angeles, CA",2020-11-01,2020-11-30,30,960000.0,1521.0
2139357,"Denver, CO",2020-06-01,2020-06-30,30,510000.0,873.0
2142683,"Raleigh, NC",2019-05-01,2019-05-31,30,312000.0,552.0
2145383,"Los Angeles, CA",2020-02-01,2020-02-29,30,840000.0,1010.0
2149260,"Austin, TX",2019-01-01,2019-01-31,30,350000.0,543.0
2161935,"Seattle, WA",2023-01-01,2023-01-31,30,850000.0,189.0
2181339,"Atlanta, GA",2019-04-01,2019-04-30,30,384800.0,657.0
2185632,"Seattle, WA",2021-10-01,2021-10-31,30,934750.0,667.0
2195945,"New York, NY",2021-11-01,2021-11-30,30,690000.0,851.0
2211466,"San Francisco, CA",2018-07-01,2018-07-31,30,1617500.0,186.0
2226385,"New York, NY",2021-04-01,2021-04-30,30,680000.0,821.0
2227039,"New York, NY",2018-05-01,2018-05-31,30,575000.0,680.0
2237966,"Seattle, WA",2023-02-01,2023-02-28,30,865000.0,272.0
2239522,"Raleigh, NC",2021-07-01,2021-07-31,30,420000.0,499.0
2245435,"Seattle, WA",2021-09-01,2021-09-30,30,925000.0,604.0
2254381,"Atlanta, GA",2022-09-01,2022-09-30,30,535000.0,420.0
2261994,"Raleigh, NC",2020-06-01,2020-06-30,30,340000.0,491.0
2265077,"Los Angeles, CA",2022-09-01,2022-09-30,30,1100000.0,1199.0
2281091,"Raleigh, NC",2019-01-01,2019-01-31,30,293500.0,274.0
2282169,"Seattle, WA",2020-06-01,2020-06-30,30,867643.5,588.0
2288634,"Denver, CO",2019-11-01,2019-11-30,30,468000.0,589.0
2308063,"New York, NY",2019-02-01,2019-02-28,30,578000.0,491.0
2310128,"San Francisco, CA",2020-09-01,2020-09-30,30,1650000.0,217.0
2317893,"Denver, CO",2021-05-01,2021-05-31,30,650000.0,785.0
2322541,"Chicago, IL",2019-01-01,2019-01-31,30,220000.0,642.0
2327009,"New York, NY",2019-08-01,2019-08-31,30,610000.0,815.0
2330999,"Atlanta, GA",2023-01-01,2023-01-31,30,417000.0,225.0
2339088,"Los Angeles, CA",2019-03-01,2019-03-31,30,800000.0,1223.0
2345993,"Chicago, IL",2018-08-01,2018-08-31,30,245000.0,1104.0
2348185,"Chicago, IL",2021-07-01,2021-07-31,30,338750.0,1050.0
2352580,"Boston, MA",2022-08-01,2022-08-31,30,750000.0,97.0
2353839,"San Francisco, CA",2022-01-01,2022-01-31,30,1569000.0,118.0
2367855,"Chicago, IL",2020-06-01,2020-06-30,30,280000.0,768.0
2378100,"Atlanta, GA",2018-09-01,2018-09-30,30,342000.0,505.0
2380856,"Atlanta, GA",2018-04-01,2018-04-30,30,340500.0,574.0
2381069,"Los Angeles, CA",2020-06-01,2020-06-30,30,839000.0,1112.0
2394497,"San Francisco, CA",2021-03-01,2021-03-31,30,1710000.0,245.0
2413111,"Seattle, WA",2021-12-01,2021-12-31,30,945000.0,431.0
2414087,"Atlanta, GA",2020-11-01,2020-11-30,30,454250.0,557.0
2430042,"Raleigh, NC",2022-11-01,2022-11-30,30,465500.0,274.0
2445806,"Chicago, IL",2022-02-01,2022-02-28,30,285000.0,741.0
2449867,"Raleigh, NC",2020-10-01,2020-10-31,30,357000.0,535.0
2454979,"Los Angeles, CA",2022-10-01,2022-10-31,30,1065000.0,979.0
2455771,"Seattle, WA",2018-03-01,2018-03-31,30,825000.0,464.0
2460400,"Los Angeles, CA",2020-08-01,2020-08-31,30,965000.0,1508.0
2468480,"Chicago, IL",2019-12-01,2019-12-31,30,231500.0,810.0
2472742,"New York, NY",2020-06-01,2020-06-30,30,621500.0,488.0
2482095,"Los Angeles, CA",2022-07-01,2022-07-31,30,1150000.0,1142.0
